Definition Name                           ;Attribut Name                                    ;Attribut Type                                      ;Moegliche Enum Werte
AngebotZumAntrag                          ;                                                 ;                                                   ;
                                          ;bausparvertraege                                 ;array of Bausparvertrag                            ;
                                          ;beleihungsRechnung                               ;BeleihungsRechnung                                 ;
                                          ;bewertungDesAngebots                             ;enum                                               ;
                                          ;                                                 ;                                                   ;ANGEBOT_ENTSPRICHT_DER_EMPFEHLUNG_DES_KUNDENBETREUERS
                                          ;                                                 ;                                                   ;ANGEBOT_ENTSPRICHT_DEM_WUNSCH_DES_KUNDEN
                                          ;darlehen                                         ;array of Darlehen                                  ;
                                          ;erzeugtAm                                        ;string(date-time)                                  ;
                                          ;kennung                                          ;string                                             ;
                                          ;machbarkeitsStatus                               ;enum                                               ;
                                          ;                                                 ;                                                   ;MACHBAR
                                          ;                                                 ;                                                   ;UNTER_VORBEHALT_PRODUZENT
                                          ;                                                 ;                                                   ;NICHT_MACHBAR
                                          ;meldungen                                        ;array of Meldung                                   ;
                                          ;pruefungsErgebnisse                              ;array of AngebotsPruefungsErgebnis                 ;
                                          ;_links                                           ;Links                                              ;
AngebotsPruefungsErgebnis                 ;                                                 ;                                                   ;
                                          ;produktAnbieter                                  ;ProduktAnbieter                                    ;
                                          ;weitereAngaben                                   ;string                                             ;
Antraege                                  ;                                                 ;                                                   ;
                                          ;antraege                                         ;array of Antrag                                    ;
                                          ;_links                                           ;PaginationLinks                                    ;
Antrag                                    ;                                                 ;                                                   ;
                                          ;angebot                                          ;AngebotZumAntrag                                   ;
                                          ;ansprechpartner                                  ;Partner                                            ;
                                          ;antragsNummer                                    ;string                                             ;
                                          ;beratung                                         ;Beratung                                           ;
                                          ;datenKontext                                     ;enum                                               ;
                                          ;                                                 ;                                                   ;TEST_MODUS
                                          ;                                                 ;                                                   ;ECHT_GESCHAEFT
                                          ;dokumente                                        ;array of Dokument                                  ;
                                          ;kreditSachbearbeiter                             ;Partner                                            ;
                                          ;produktAnbieter                                  ;ProduktAnbieter                                    ;
                                          ;status                                           ;AntragsStatus                                      ;
                                          ;vermittler                                       ;Partner                                            ;
                                          ;zeitpunktDerAnnahme                              ;string(date-time)                                  ;
                                          ;zugrundeliegendeDaten                            ;ZugrundeliegendeDatenZumAntrag                     ;
                                          ;_links                                           ;Links                                              ;
AntragsStatus                             ;                                                 ;                                                   ;
                                          ;antragsteller                                    ;enum                                               ;
                                          ;                                                 ;                                                   ;BEANTRAGT
                                          ;                                                 ;                                                   ;UNTERSCHRIEBEN
                                          ;                                                 ;                                                   ;NICHT_ANGENOMMEN
                                          ;                                                 ;                                                   ;WIDERRUFEN
                                          ;bearbeitungsFortschritt                          ;enum                                               ;
                                          ;                                                 ;                                                   ;NICHT_VON_PRODUKTANBIETER_BESTAETIGT
                                          ;                                                 ;                                                   ;VON_PRODUKTANBIETER_BESTAETIGT
                                          ;                                                 ;                                                   ;FREIGEGEBEN_FUER_SAMMELFORDERUNG
                                          ;                                                 ;                                                   ;PROVISION_IN_BEARBEITUNG
                                          ;                                                 ;                                                   ;PROVISON_AN_KUNDENBETREUER_VOLLSTAENDIG_AUSGEZAHLT
                                          ;produktAnbieter                                  ;enum                                               ;
                                          ;                                                 ;                                                   ;NICHT_BEARBEITET
                                          ;                                                 ;                                                   ;UNTERSCHRIEBEN
                                          ;                                                 ;                                                   ;ABGELEHNT
                                          ;                                                 ;                                                   ;ZURUECKGESTELLT
Antragsteller                             ;                                                 ;                                                   ;
                                          ;anrede                                           ;enum                                               ;
                                          ;                                                 ;                                                   ;FRAU
                                          ;                                                 ;                                                   ;HERR
                                          ;anschrift                                        ;Postadresse                                        ;
                                          ;arbeitserlaubnis                                 ;boolean                                            ;
                                          ;arbeitserlaubnisBefristetBis                     ;string(date)                                       ;
                                          ;aufenthaltsTitel                                 ;enum                                               ;
                                          ;                                                 ;                                                   ;VISUM
                                          ;                                                 ;                                                   ;AUFENTHALTS_ERLAUBNIS
                                          ;                                                 ;                                                   ;NIEDERLASSUNGS_ERLAUBNIS
                                          ;                                                 ;                                                   ;DAUERAUFENTHALT_EU
                                          ;aufenthaltsTitelBefristetBis                     ;string(date)                                       ;
                                          ;berufsgruppeBeiIngDiba                           ;string                                             ;
                                          ;beschaeftigung                                   ;Beschaeftigung                                     ;
                                          ;brancheBeiIngDiba                                ;string                                             ;
                                          ;brancheBeiMhb                                    ;string                                             ;
                                          ;brancheBeiSRating                                ;string                                             ;
                                          ;email                                            ;string                                             ;
                                          ;externeAntragstellerId                           ;string                                             ;
                                          ;familienstand                                    ;enum                                               ;
                                          ;                                                 ;                                                   ;GESCHIEDEN
                                          ;                                                 ;                                                   ;GETRENNT_LEBEND
                                          ;                                                 ;                                                   ;LEBENSPARTNERSCHAFT
                                          ;                                                 ;                                                   ;LEDIG
                                          ;                                                 ;                                                   ;VERHEIRATET
                                          ;                                                 ;                                                   ;VERWITWET
                                          ;geburtsdatum                                     ;string(date)                                       ;
                                          ;geburtsort                                       ;string                                             ;
                                          ;guetertrennungVereinbartWennVerheiratet          ;boolean                                            ;
                                          ;id                                               ;string                                             ;
                                          ;legitimationsDaten                               ;LegitimationsDaten                                 ;
                                          ;nachname                                         ;string                                             ;
                                          ;schufaErgebnis                                   ;SchufaErgebnis                                     ;
                                          ;staatsangehoerigkeit                             ;Staat                                              ;
                                          ;telefonnummer                                    ;string                                             ;
                                          ;telefonnummerVorwahl                             ;string                                             ;
                                          ;titelDoktor                                      ;boolean                                            ;
                                          ;titelProfessor                                   ;boolean                                            ;
                                          ;verheiratetMitAntragsteller                      ;AntragstellerVerknuepfung                          ;
                                          ;vorAnschrift                                     ;Postadresse                                        ;
                                          ;vorname                                          ;string                                             ;
                                          ;weitereKontaktMoeglichkeiten                     ;string                                             ;
                                          ;wohnhaftSeit                                     ;string(date)                                       ;
AntragstellerVerknuepfung                 ;                                                 ;                                                   ;
                                          ;id                                               ;string                                             ;
                                          ;name                                             ;string                                             ;
AusgabenMonatlich                         ;                                                 ;                                                   ;
                                          ;ausgabenMonatlich                                ;number                                             ;
                                          ;zahlungsTyp                                      ;enum                                               ;
                                          ;                                                 ;                                                   ;EINNAHME
                                          ;                                                 ;                                                   ;AUSGABE
Autostellplatz                            ;                                                 ;                                                   ;
                                          ;mieteinnahmenMonatlich                           ;number                                             ;
                                          ;typ                                              ;enum                                               ;
                                          ;                                                 ;                                                   ;STELLPLATZ
                                          ;                                                 ;                                                   ;CARPORT
                                          ;                                                 ;                                                   ;GARAGE
                                          ;                                                 ;                                                   ;DOPPEL_GARAGE
                                          ;                                                 ;                                                   ;KELLER_GARAGE
                                          ;                                                 ;                                                   ;TIEFGARAGEN_STELLPLATZ
Bankverbindung                            ;                                                 ;                                                   ;
                                          ;bic                                              ;string                                             ;
                                          ;iban                                             ;string                                             ;
                                          ;kontoinhaber                                     ;array of AntragstellerVerknuepfung                 ;
                                          ;kreditinstitut                                   ;string                                             ;
Bausparvertrag                            ;                                                 ;                                                   ;
                                          ;abschlussGebuehr                                 ;number                                             ;
                                          ;angebotsHinweisFuerAntragsteller                 ;string                                             ;
                                          ;bausparSumme                                     ;number                                             ;
                                          ;einmalzahlung                                    ;number                                             ;
                                          ;gesamtLaufzeitInJahren                           ;integer(int32)                                     ;
                                          ;id                                               ;string                                             ;
                                          ;produktAnbieter                                  ;ProduktAnbieter                                    ;
                                          ;sparPhase                                        ;SparPhase                                          ;
                                          ;tarif                                            ;string                                             ;
                                          ;tilgungsPhase                                    ;TilgungsPhase                                      ;
                                          ;typ                                              ;string                                             ;
                                          ;vertragsBeginn                                   ;string(date)                                       ;
                                          ;vertragsNummer                                   ;string                                             ;
                                          ;verwaltungsgebuehrenJaehrlich                    ;number                                             ;
                                          ;zuteilungsDatum                                  ;string(date)                                       ;
BeleihungsRechnung                        ;                                                 ;                                                   ;
                                          ;beleihungsAuslauf                                ;number                                             ;
                                          ;beleihungsWerte                                  ;array of BeleihungsWert                            ;
                                          ;beleihungsWerteSumme                             ;number                                             ;
                                          ;produktAnbieter                                  ;ProduktAnbieter                                    ;
BeleihungsWert                            ;                                                 ;                                                   ;
                                          ;beleihungsWert                                   ;number                                             ;
                                          ;immobilie                                        ;ImmobilieVerknuepfung                              ;
Beratung                                  ;                                                 ;                                                   ;
                                          ;art                                              ;enum                                               ;
                                          ;                                                 ;                                                   ;PRAESENZ_GESCHAEFT
                                          ;                                                 ;                                                   ;FERN_ABSATZ_GESCHAEFT
                                          ;                                                 ;                                                   ;AUSSER_GESCHAEFTSRAUM_VERTRAG
                                          ;hinweisFuerProduktAnbieter                       ;string                                             ;
                                          ;istKundenBetreuerVerkaeuferOderMaklerDerImmobilie;boolean                                            ;
Bereitstellung                            ;                                                 ;                                                   ;
                                          ;bereitstellungsZins                              ;number                                             ;
                                          ;bereitstellungsZinsFreieZeitInMonaten            ;integer(int32)                                     ;
Beschaeftigung                            ;                                                 ;                                                   ;
                                          ;anzahlGehaelterProJahr                           ;number(double)                                     ;
                                          ;arbeitgeber                                      ;string                                             ;
                                          ;arbeitgeberInDeutschlandAnsaessig                ;boolean                                            ;
                                          ;art                                              ;string                                             ;
                                          ;befristungsStatus                                ;enum                                               ;
                                          ;                                                 ;                                                   ;BEFRISTET
                                          ;                                                 ;                                                   ;UNBEFRISTET
                                          ;beruf                                            ;string                                             ;
                                          ;beschaeftigtSeit                                 ;string(date)                                       ;
                                          ;einkommenNettoJaehrlich                          ;number                                             ;
                                          ;einkommenNettoMonatlich                          ;number                                             ;
                                          ;inProbezeit                                      ;boolean                                            ;
                                          ;situationNachRenteneintritt                      ;SituationNachRenteneintritt                        ;
                                          ;sonstigesRegelmaessigesEinkommenNettoMonatlich   ;number                                             ;
                                          ;staatlicheRenteNettoMonatlich                    ;number                                             ;
                                          ;taetigkeit                                       ;string                                             ;
BestehendeImmobilie                       ;                                                 ;                                                   ;
                                          ;adresse                                          ;Postadresse                                        ;
                                          ;autostellplaetze                                 ;array of Autostellplatz                            ;
                                          ;bestehendeDarlehen                               ;array of BestehendesDarlehen                       ;
                                          ;erbbaurecht                                      ;Erbbaurecht                                        ;
                                          ;gebaeude                                         ;Gebaeude                                           ;
                                          ;grundbuchAngabe                                  ;GrundbuchAngabe                                    ;
                                          ;grundstueck                                      ;Grundstueck                                        ;
                                          ;id                                               ;string                                             ;
                                          ;immobilienEinsatz                                ;enum                                               ;
                                          ;                                                 ;                                                   ;KEIN_EINSATZ
                                          ;                                                 ;                                                   ;VERKAUFEN
                                          ;                                                 ;                                                   ;ALS_ZUSATZSICHERHEIT
                                          ;maximalEinzusetzenderBetragWennVerkauf           ;number                                             ;
                                          ;objektArt                                        ;enum                                               ;
                                          ;                                                 ;                                                   ;GRUNDSTUECK
                                          ;                                                 ;                                                   ;EIGENTUMSWOHNUNG
                                          ;                                                 ;                                                   ;HAUS
                                          ;verkehrswert                                     ;number                                             ;
BestehenderBausparvertrag                 ;                                                 ;                                                   ;
                                          ;abschlussGebuehr                                 ;number                                             ;
                                          ;aktuellerWert                                    ;number                                             ;
